,Mkt-RF,SMB,HML,RMW,CMA,RF
1964-01-01,   12.54,    0.33,    9.86,   -2.99,    6.80,    3.54
1965-01-01,   10.52,   24.41,    7.36,   -0.79,   -3.17,    3.93
1966-01-01,  -13.51,    2.15,   -0.68,   -0.12,   -0.34,    4.76
1967-01-01,   24.49,   50.40,   -8.58,    7.53,  -15.04,    4.21
1968-01-01,    8.79,   26.32,   18.49,  -12.84,   16.25,    5.21
1969-01-01,  -17.54,  -14.06,   -9.81,   11.77,   -4.14,    6.58
1970-01-01,   -6.49,  -12.36,   22.34,   -2.65,   24.45,    6.52
1971-01-01,   11.78,    5.58,  -11.29,   10.16,   -5.86,    4.39
1972-01-01,   13.05,  -11.43,    1.75,    7.99,   -3.05,    3.84
1973-01-01,  -26.19,  -20.00,   18.08,   -9.03,    6.66,    6.93
1974-01-01,  -35.75,    0.67,    9.67,   -4.04,   22.88,    8.00
1975-01-01,   32.44,   19.05,    9.49,    0.53,    0.48,    5.80
1976-01-01,   21.91,   19.90,   24.50,   -6.67,    7.47,    5.08
1977-01-01,   -8.26,   24.64,    7.51,    2.16,   -0.39,    5.12
1978-01-01,    1.03,   13.68,    0.37,    5.07,    4.15,    7.18
1979-01-01,   13.09,   21.05,   -2.12,   -2.80,   -0.99,   10.38
1980-01-01,   22.13,    4.91,  -25.06,   14.08,  -11.32,   11.24
1981-01-01,  -18.13,    7.48,   25.01,   -1.60,   10.36,   14.71
1982-01-01,   10.66,    7.42,   13.59,   -4.46,   18.01,   10.54
1983-01-01,   13.74,   11.84,   20.85,    0.67,   16.43,    8.80
1984-01-01,   -6.05,   -8.45,   19.63,   14.88,    3.84,    9.85
1985-01-01,   24.91,   -0.62,    1.35,   11.89,   -2.49,    7.72
1986-01-01,   10.12,  -10.37,    9.58,    7.13,    9.84,    6.16
1987-01-01,   -3.87,  -11.28,   -1.64,    6.20,    6.90,    5.47
1988-01-01,   11.55,    6.46,   14.77,    3.14,    9.72,    6.35
1989-01-01,   20.49,  -13.10,   -4.35,    2.55,    8.22,    8.37
1990-01-01,  -13.95,  -14.29,   -9.66,    7.39,    0.62,    7.81
1991-01-01,   29.18,   15.78,  -14.67,   12.04,  -14.91,    5.60
1992-01-01,    6.23,    9.11,   24.62,    7.45,    6.96,    3.51
1993-01-01,    8.21,    6.35,   16.99,   -6.89,   11.99,    2.90
1994-01-01,   -4.10,   -2.31,   -0.97,    5.93,    3.90,    3.90
1995-01-01,   31.22,   -8.55,    6.59,    1.59,    2.81,    5.60
1996-01-01,   15.96,   -2.93,    8.27,   15.42,    0.52,    5.21
1997-01-01,   25.96,   -6.69,   19.35,    9.32,    5.19,    5.26
1998-01-01,   19.46,  -28.20,   -9.64,    3.60,   -4.60,    4.86
1999-01-01,   20.57,    8.71,  -32.18,  -27.20,   -8.44,    4.68
2000-01-01,  -17.60,    2.80,   46.33,   25.14,   32.74,    5.89
2001-01-01,  -15.20,   23.44,   19.14,   17.19,   11.79,    3.83
2002-01-01,  -22.76,    5.64,    8.92,   20.42,   14.44,    1.65
2003-01-01,   30.75,   24.25,    4.21,  -20.49,   16.96,    1.02
2004-01-01,   10.72,    7.10,    7.82,    8.41,   -7.88,    1.20
2005-01-01,    3.09,   -0.88,    9.44,    1.47,   -5.01,    2.98
2006-01-01,   10.60,    1.65,   11.95,    4.02,    8.19,    4.80
2007-01-01,    1.04,   -8.03,  -17.08,    4.78,   -7.80,    4.66
2008-01-01,  -38.34,    3.13,    1.31,   15.33,    4.16,    1.60
2009-01-01,   28.26,    8.08,   -9.18,    3.64,   -2.69,    0.10
2010-01-01,   17.37,   13.34,   -5.47,   -1.94,    9.98,    0.12
2011-01-01,    0.44,   -5.60,   -8.07,   13.15,   -0.88,    0.04
2012-01-01,   16.27,   -0.19,   10.01,   -5.53,    9.41,    0.06
2013-01-01,   35.20,    7.58,    2.54,   -3.67,    1.33,    0.02
2014-01-01,   11.71,   -8.00,   -1.54,    1.39,   -1.77,    0.02
2015-01-01,    0.08,   -5.81,   -9.73,    0.92,   -8.52,    0.02
2016-01-01,   13.30,    9.09,   22.42,    4.42,    9.93,    0.20
2017-01-01,   21.51,   -5.98,  -13.70,    5.05,  -11.77,    0.80
2018-01-01,   -6.93,   -5.21,   -9.22,   -1.34,    0.26,    1.81
2019-01-01,   28.28,   -6.37,  -10.88,    4.22,   -2.81,    2.14
